treatment,t_day,N_umol,P_umol,B_units
+N,0.8200000000000001,11.531191988158183,0.1531191988158178,1.8468808011841822
+N,0.84,11.334476714160076,0.133447671416007,1.8665523285839931
+N,0.86,11.147635307960764,0.11476353079607586,1.8852364692039243
+N,0.88,10.972394309294854,0.0972394309294848,1.9027605690705154
+N,0.9,10.81051306665244,0.08105130666524354,1.9189486933347566
+N,0.92,10.6636577694678,0.06636577694677938,1.9336342230532209
+N,0.9400000000000001,10.533225824287278,0.05332258242872721,1.9466774175712729
+N,0.96,10.420139031601275,0.042013903160126986,1.957986096839873
+N,0.98,10.324650961438925,0.03246509614389196,1.967534903856108
+N,1.0,10.246233688313893,0.02462336883138873,1.9753766311686114
+N,1.02,10.183600210951791,0.01836002109517863,1.9816399789048216
+N,1.04,10.13487314809991,0.01348731480999047,1.98651268519001
+N,1.06,10.097850072135369,0.00978500721353643,1.990214992786464
+N,1.08,10.070281304762567,0.0070281304762561175,1.9929718695237442
+N,1.1,10.0500875879332,0.005008758793319468,1.994991241206681
+N,1.12,10.035485983460829,0.0035485983460824357,1.996451401653918
+N,1.1400000000000001,10.025031416966305,0.002503141696630055,1.9974968583033703
+N,1.16,10.017600762492679,0.0017600762492673988,1.9982399237507331
+N,1.18,10.012347605751708,0.0012347605751704459,1.99876523942483
+N,1.2,10.008648177571622,0.0008648177571617374,1.999135182242839
+N,1.22,10.00605011677852,0.0006050116778515055,1.9993949883221491
+N,1.24,10.004229103952818,0.0004229103952812937,1.9995770896047194
+N,1.26,10.002954497873116,0.0002954497873111435,1.9997045502126896
+N,1.28,10.002063213396706,0.00020632133967010284,1.9997936786603308
+N,1.3,10.001440396901554,0.00014403969015497372,1.9998559603098458
+N,1.32,10.001005389952553,0.00010053899525476111,1.999899461004746
+N,1.34,10.000701660501003,7.01660500997715e-05,1.999929833949901
+N,1.36,10.00048964092722,4.896409272142782e-05,1.9999510359072794
+N,1.3800000000000001,10.000341663952923,3.416639529169221e-05,1.999965833604709
+N,1.4000000000000001,10.00023839671602,2.383967160117377e-05,1.9999761603283996
+N,1.42,10.000166336322637,1.6633632263002684e-05,1.9999833663677378
+N,1.44,10.000116055051224,1.1605505121644861e-05,1.999988394494879
+N,1.46,10.000080971835544,8.097183553688784e-06,1.9999919028164472
+N,1.48,10.000056493592849,5.649359284120475e-06,1.9999943506407167
+N,1.5,10.000039414934244,3.9414934235836386e-06,1.9999960585065772
+N,1.52,10.000027499219383,2.7499219373899706e-06,1.9999972500780636
+N,1.54,10.000019185717427,1.918571741745664e-06,1.9999980814282592
+N,1.56,10.000013385505543,1.338550553410834e-06,1.9999986614494476
+N,1.58,10.000009338795973,9.338795963308483e-07,1.9999990661204046
+N,1.6,10.000006515463438,6.51546342877379e-07,1.999999348453658
+N,1.62,10.000004545700062,4.5457000529467524e-07,1.9999995454299957
+N,1.6400000000000001,10.000003171436658,3.1714366493751856e-07,1.999999682856336
+N,1.6600000000000001,10.000002212629694,2.212629684943131e-07,1.9999997787370323
+N,1.68,10.000001543704425,1.543704415105464e-07,1.9999998456295593
+N,1.7,10.000001077011035,1.0770110260016565e-07,1.9999998922988982
+N,1.72,10.000000751395799,7.513957897101517e-08,1.9999999248604219
+N,1.74,10.00000052423602,5.242360107980873e-08,1.9999999475763997
+N,1.76,10.000000365748956,3.657489470328061e-08,1.999999963425106
+N,1.78,10.000000255173731,2.5517372071361582e-08,1.9999999744826287
+N,1.8,10.000000178025259,1.7802524937931975e-08,1.9999999821974759
+N,1.82,10.000000124206231,1.242062217261241e-08,1.9999999875793786
+N,1.84,10.000000086656936,8.665692601284454e-09,1.9999999913343083
+N,1.86,10.000000060457554,6.0457543065250235e-09,1.9999999939542465
+N,1.8800000000000001,10.00000004217872,4.217870881777402e-09,1.99999999578213
+N,1.9000000000000001,10.000000029427984,2.9427973411044817e-09,1.9999999970572035
+N,1.92,10.000000020531491,2.053148065013237e-09,1.9999999979468528
+N,1.94,10.000000014324113,1.4324104333906874e-09,1.9999999985675903
+N,1.96,10.000000009993341,9.993330629001135e-10,1.9999999990006676
+N,1.98,10.00000000697233,6.972320237221649e-10,1.9999999993027686
+N,2.0,10.0000000048645,4.864489138237126e-10,1.9999999995135518
+N,2.02,10.000000003393795,3.393785903074644e-10,1.9999999996606221
+N,2.04,10.000000002367713,2.3677029784488234e-10,1.9999999997632303
+N,2.06,10.00000000165195,1.651940075412552e-10,1.9999999998348066
+N,2.08,10.000000001152545,1.1525352059154241e-10,1.999999999884747
+N,2.1,10.000000000804093,8.040839682967132e-11,1.9999999999195923
+N,2.12,10.000000000560986,5.6097587162427823e-11,1.999999999943903
+N,2.14,10.0000000003914,3.913913745032968e-11,1.9999999999608615
+N,2.16,10.000000000273078,2.730682213843795e-11,1.9999999999726938
+N,2.18,10.00000000019052,1.9051025762861024e-11,1.9999999999809497
+N,2.2,10.000000000132921,1.3291106652953898e-11,1.9999999999867095
+N,2.22,10.000000000092742,9.273169781454376e-12,1.9999999999907276
+N,2.24,10.000000000064707,6.46975928325195e-12,1.999999999993531
+N,2.2600000000000002,10.000000000045146,4.513727381080614e-12,1.999999999995487
+N,2.2800000000000002,10.0000000000315,3.1490394673900504e-12,1.9999999999968516
+N,2.3000000000000003,10.00000000002198,2.1970764655770405e-12,1.9999999999978035
+N,2.32,10.000000000015339,1.5328691476447335e-12,1.9999999999984677
+N,2.34,10.000000000010704,1.0694298103392763e-12,1.9999999999989313
+N,2.36,10.000000000007471,7.460966061974551e-13,1.9999999999992546
+N,2.38,10.000000000005215,5.205496188555588e-13,1.99999999999948
+N,2.4,10.000000000003642,3.631801000372083e-13,1.9999999999996374
+N,2.42,10.000000000002544,2.533782000225659e-13,1.999999999999747
+N,2.44,10.000000000001778,1.7677140967370991e-13,1.9999999999998237
+N,2.46,10.000000000001243,1.2333294263195143e-13,1.9999999999998772
+N,2.48,10.00000000000087,8.604764814039334e-14,1.9999999999999145
+N,2.5,10.00000000000061,6.003246928930006e-14,1.9999999999999405
+N,2.52,10.000000000000428,4.188215174593419e-14,1.9999999999999587
+N,2.54,10.000000000000302,2.92210659411291e-14,1.9999999999999714
