t_h,R_umol,assimilated_umol,supplied_umol,U_umol_h,A_umol_h,light
15.74,3.504694931334089,14.297990948812812,15.802685880146903,0.36771352801296087,0.2723032846096981,False
15.76,3.506601069928419,14.303437343300658,15.810038413229078,0.3675398545417188,0.2723361476711407,False
15.780000000000001,3.5085030832365036,14.308884394060854,15.81738747729736,0.36736662638884027,0.2723689119119452,False
15.8,3.5104009821230355,14.31433209912101,15.824733081244048,0.36719384214858236,0.27240157773394774,False
15.82,3.5122947774166287,14.319780456516751,15.832075233933383,0.367021500420424,0.2724341455368345,False
15.84,3.5141844799099666,14.325229464291674,15.839413944201644,0.3668495998090456,0.27246661571815506,False
15.86,3.516070100359948,14.330679120497305,15.846749220857253,0.36667813892430956,0.27249898867333705,False
15.879999999999999,3.517951649487834,14.336129423193055,15.854081072680891,0.36650711638123956,0.2725312647957007,False
15.9,3.5198291379793907,14.34158037044619,15.86140950842558,0.3663365308000013,0.2725634444764721,False
15.92,3.521702576485037,14.347031960331766,15.868734536816804,0.366166380805882,0.27259552810479765,False
15.94,3.5235719756199853,14.352484190932612,15.8760561665526,0.3659966650292708,0.2726275160677574,False
15.96,3.5254373459643853,14.357937060339275,15.88337440630366,0.3658273821056392,0.27265940875037925,False
15.98,3.5272986980634666,14.36339056664998,15.890689264713448,0.3656585306755209,0.272691206535652,False
16.0,3.5291560424276813,14.368844707970592,15.898000750398275,0.3654901093844923,0.2727229098045392,False
16.02,3.531009389532844,14.374299482414578,15.905308871947422,0.3653221168831529,0.27275451893599234,False
16.04,3.5328587498202713,14.379754888102962,15.912613637923235,0.36515455182710577,0.27278603430696413,False
16.060000000000002,3.534704133696924,14.385210923164287,15.919915056861212,0.364987412876938,0.27281745629242143,False
16.08,3.5365455515355433,14.390667585734576,15.92721313727012,0.36482069869820105,0.27284878526535883,False
16.1,3.538383013674792,14.396124873957293,15.934507887632085,0.36465440796139187,0.2728800215968109,False
16.12,3.54021653041939,14.4015827859833,15.941799316402692,0.3644885393419328,0.2729111656558658,False
16.14,3.5420461120402527,14.407041319970826,15.94908743201108,0.36432309152015324,0.27294221780967726,False
16.16,3.543871768774627,14.412500474085421,15.956372242860049,0.36415806318126936,0.2729731784234776,False
16.18,3.5456935108262275,14.41796024649992,15.96365375732615,0.36399345301536573,0.2730040478605906,False
16.2,3.547511348365371,14.42342063539441,15.970931983759781,0.3638292597173762,0.2730348264824431,False
16.22,3.5493252915291125,14.428881638956181,15.978206930485294,0.36366548198706405,0.273065514648578,False
16.240000000000002,3.5511353504213776,14.4343432553797,15.98547860580108,0.36350211852900405,0.2730961127166665,False
16.259999999999998,3.5529415351130966,14.439805482866566,15.992747017979664,0.36333916805256306,0.27312662104251995,False
16.28,3.5547438556423385,14.445268319625479,16.000012175267816,0.36317662927188066,0.27315703998010205,False
16.3,3.556542322014439,14.450731763872197,16.007274085886635,0.36301450090585147,0.2731873698815409,False
16.32,3.5583369442021366,14.4561958138295,16.01453275803164,0.3628527816781053,0.2732176110971406,False
16.34,3.5601277321457023,14.461660467727166,16.02178819987287,0.3626914703169891,0.27324776397539363,False
16.36,3.561914695753068,14.467125723801914,16.02904041955498,0.36253056555554813,0.27327782886299173,False
16.38,3.5636978448999574,14.472591580297381,16.03628942519734,0.3623700661315074,0.27330780610483807,False
16.4,3.5654771894300157,14.47805803546409,16.043535224894107,0.3622099707872532,0.2733376960440587,False
16.42,3.5672527391549376,14.483525087559402,16.05077782671434,0.36205027826981456,0.27336749902201396,False
16.44,3.569024503854594,14.488992734847493,16.05801723870209,0.36189098733084496,0.2733972153783094,False
16.46,3.570792493277161,14.49446097559931,16.06525346887647,0.36173209672660395,0.27342684545080775,False
16.48,3.572556717139246,14.49992980809254,16.07248652523179,0.36157360521793874,0.2734563895756393,False
