"alpha","nu","k","q_critical"
"0.01","120",32,"6.162"
"0.01","120",34,"6.204"
"0.01","120",36,"6.243"
"0.01","Inf",20,"5.645"
"0.01","Inf",22,"5.709"
"0.01","Inf",24,"5.766"
"0.01","Inf",26,"5.818"
"0.01","Inf",28,"5.866"
"0.01","Inf",30,"5.911"
"0.01","Inf",32,"5.952"
"0.01","Inf",34,"5.990"
"0.01","Inf",36,"6.026"
"0.01","1",38,"341.500"
"0.01","1",40,"344.800"
"0.01","1",50,"358.890"
"0.01","1",60,"370.093"
"0.01","1",70,"379.361"
"0.01","1",80,"387.247"
"0.01","1",90,"394.096"
"0.01","1",100,"400.143"
"0.01","2",38,"43.208"
"0.01","2",40,"43.610"
"0.01","2",50,"45.328"
"0.01","2",60,"46.697"
"0.01","2",70,"47.832"
"0.01","2",80,"48.798"
"0.01","2",90,"49.639"
"0.01","2",100,"50.381"
"0.01","3",38,"22.384"
"0.01","3",40,"22.585"
"0.01","3",50,"23.445"
"0.01","3",60,"24.132"
"0.01","3",70,"24.702"
"0.01","3",80,"25.188"
"0.01","3",90,"25.612"
"0.01","3",100,"25.986"
"0.01","4",38,"16.226"
"0.01","4",40,"16.367"
"0.01","4",50,"16.972"
"0.01","4",60,"17.456"
"0.01","4",70,"17.858"
"0.01","4",80,"18.201"
"0.01","4",90,"18.501"
"0.01","4",100,"18.765"
"0.01","5",38,"13.398"
"0.01","5",40,"13.511"
"0.01","5",50,"13.997"
"0.01","5",60,"14.387"
"0.01","5",70,"14.711"
"0.01","5",80,"14.988"
"0.01","5",90,"15.229"
"0.01","5",100,"15.443"
"0.01","6",38,"11.793"
"0.01","6",40,"11.890"
"0.01","6",50,"12.308"
"0.01","6",60,"12.643"
"0.01","6",70,"12.922"
"0.01","6",80,"13.160"
"0.01","6",90,"13.369"
"0.01","6",100,"13.553"
"0.01","7",38,"10.763"
"0.01","7",40,"10.850"
"0.01","7",50,"11.223"
"0.01","7",60,"11.522"
"0.01","7",70,"11.772"
"0.01","7",80,"11.985"
"0.01","7",90,"12.172"
"0.01","7",100,"12.337"
"0.01","8",38,"10.047"
"0.01","8",40,"10.126"
"0.01","8",50,"10.467"
"0.01","8",60,"10.742"
"0.01","8",70,"10.970"
"0.01","8",80,"11.166"
"0.01","8",90,"11.337"
"0.01","8",100,"11.489"
"0.01","9",38,"9.520"
"0.01","9",40,"9.594"
"0.01","9",50,"9.912"
"0.01","9",60,"10.167"
"0.01","9",70,"10.380"
"0.01","9",80,"10.563"
"0.01","9",90,"10.722"
"0.01","9",100,"10.864"
"0.01","10",38,"9.117"
"0.01","10",40,"9.186"
"0.01","10",50,"9.485"
"0.01","10",60,"9.726"
"0.01","10",70,"9.927"
"0.01","10",80,"10.099"
"0.01","10",90,"10.250"
"0.01","10",100,"10.383"
"0.01","11",38,"8.798"
"0.01","11",40,"8.864"
"0.01","11",50,"9.148"
"0.01","11",60,"9.377"
"0.01","11",70,"9.568"
"0.01","11",80,"9.732"
"0.01","11",90,"9.875"
"0.01","11",100,"10.002"
"0.01","12",38,"8.539"
"0.01","12",40,"8.602"
"0.01","12",50,"8.874"
"0.01","12",60,"9.093"
"0.01","12",70,"9.276"
"0.01","12",80,"9.433"
"0.01","12",90,"9.571"
"0.01","12",100,"9.693"
"0.01","13",38,"8.325"
"0.01","13",40,"8.386"
"0.01","13",50,"8.648"
"0.01","13",60,"8.859"
"0.01","13",70,"9.035"
"0.01","13",80,"9.186"
"0.01","13",90,"9.318"
"0.01","13",100,"9.436"
"0.01","14",38,"8.146"
"0.01","14",40,"8.204"
"0.01","14",50,"8.457"
"0.01","14",60,"8.661"
"0.01","14",70,"8.831"
"0.01","14",80,"8.978"
"0.01","14",90,"9.106"
"0.01","14",100,"9.219"
"0.01","15",38,"7.992"
"0.01","15",40,"8.049"
"0.01","15",50,"8.294"
"0.01","15",60,"8.492"
"0.01","15",70,"8.658"
"0.01","15",80,"8.800"
"0.01","15",90,"8.924"
"0.01","15",100,"9.034"
"0.01","16",38,"7.860"
"0.01","16",40,"7.915"
"0.01","16",50,"8.154"
"0.01","16",60,"8.346"
"0.01","16",70,"8.507"
"0.01","16",80,"8.646"
"0.01","16",90,"8.767"
"0.01","16",100,"8.874"
"0.01","17",38,"7.744"
"0.01","17",40,"7.798"
"0.01","17",50,"8.031"
"0.01","17",60,"8.219"
"0.01","17",70,"8.376"
"0.01","17",80,"8.511"
"0.01","17",90,"8.629"
"0.01","17",100,"8.734"
"0.01","18",38,"7.643"
"0.01","18",40,"7.696"
"0.01","18",50,"7.923"
"0.01","18",60,"8.107"
"0.01","18",70,"8.261"
"0.01","18",80,"8.393"
"0.01","18",90,"8.508"
"0.01","18",100,"8.611"
"0.01","19",38,"7.553"
"0.01","19",40,"7.605"
"0.01","19",50,"7.828"
"0.01","19",60,"8.008"
"0.01","19",70,"8.158"
"0.01","19",80,"8.288"
"0.01","19",90,"8.401"
"0.01","19",100,"8.501"
"0.01","20",38,"7.473"
"0.01","20",40,"7.523"
"0.01","20",50,"7.742"
"0.01","20",60,"7.919"
"0.01","20",70,"8.067"
"0.01","20",80,"8.194"
"0.01","20",90,"8.305"
"0.01","20",100,"8.404"
"0.01","24",38,"7.222"
"0.01","24",40,"7.270"
"0.01","24",50,"7.476"
"0.01","24",60,"7.641"
"0.01","24",70,"7.780"
"0.01","24",80,"7.900"
"0.01","24",90,"8.004"
"0.01","24",100,"8.097"
"0.01","30",38,"6.978"
"0.01","30",40,"7.023"
"0.01","30",50,"7.215"
"0.01","30",60,"7.370"
"0.01","30",70,"7.500"
"0.01","30",80,"7.611"
"0.01","30",90,"7.709"
"0.01","30",100,"7.796"
"0.01","40",38,"6.740"
"0.01","40",40,"6.781"
"0.01","40",50,"6.960"
"0.01","40",60,"7.104"
"0.01","40",70,"7.224"
"0.01","40",80,"7.328"
"0.01","40",90,"7.419"
"0.01","40",100,"7.499"
"0.01","60",38,"6.507"
"0.01","60",40,"6.546"
"0.01","60",50,"6.710"
"0.01","60",60,"6.843"
"0.01","60",70,"6.954"
"0.01","60",80,"7.049"
"0.01","60",90,"7.133"
"0.01","60",100,"7.207"
"0.01","120",38,"6.280"
"0.01","120",40,"6.316"
"0.01","120",50,"6.466"
"0.01","120",60,"6.588"
"0.01","120",70,"6.689"
"0.01","120",80,"6.776"
"0.01","120",90,"6.851"
"0.01","120",100,"6.919"
"0.01","Inf",38,"6.060"
"0.01","Inf",40,"6.092"
"0.01","Inf",50,"6.228"
"0.01","Inf",60,"6.338"
"0.01","Inf",70,"6.429"
"0.01","Inf",80,"6.507"
"0.01","Inf",90,"6.575"
"0.01","Inf",100,"6.636"
"0.005","1",2,"180.060"
"0.005","1",3,"270.092"
"0.005","1",4,"328.526"
"0.005","1",5,"371.161"
"0.005","1",6,"404.430"
"0.005","1",7,"431.549"
"0.005","1",8,"454.344"
"0.005","1",9,"473.944"
"0.005","1",10,"491.095"
"0.005","2",2,"19.925"
"0.005","2",3,"26.965"
"0.005","2",4,"31.595"
"0.005","2",5,"35.023"
"0.005","2",6,"37.727"
"0.005","2",7,"39.951"
"0.005","2",8,"41.832"
"0.005","2",9,"43.458"
"0.005","2",10,"44.887"
"0.005","3",2,"10.541"
"0.005","3",3,"13.499"
"0.005","3",4,"15.450"
"0.005","3",5,"16.904"
"0.005","3",6,"18.059"
"0.005","3",7,"19.014"
"0.005","3",8,"19.825"
"0.005","3",9,"20.529"
"0.005","3",10,"21.149"
"0.005","4",2,"7.916"
"0.005","4",3,"9.813"
"0.005","4",4,"11.061"
"0.005","4",5,"11.992"
"0.005","4",6,"12.735"
"0.005","4",7,"13.350"
"0.005","4",8,"13.875"
"0.005","4",9,"14.331"
"0.005","4",10,"14.735"
"0.005","5",2,"6.751"
"0.005","5",3,"8.196"
"0.005","5",4,"9.140"
"0.005","5",5,"9.846"
"0.005","5",6,"10.410"
"0.005","5",7,"10.877"
"0.005","5",8,"11.277"
"0.005","5",9,"11.625"
"0.005","5",10,"11.932"
"0.005","6",2,"6.105"
"0.005","6",3,"7.306"
"0.005","6",4,"8.087"
"0.005","6",5,"8.670"
"0.005","6",6,"9.135"
"0.005","6",7,"9.522"
"0.005","6",8,"9.852"
"0.005","6",9,"10.140"
"0.005","6",10,"10.395"
"0.005","7",2,"5.698"
"0.005","7",3,"6.750"
"0.005","7",4,"7.429"
"0.005","7",5,"7.935"
"0.005","7",6,"8.339"
"0.005","7",7,"8.674"
"0.005","7",8,"8.961"
"0.005","7",9,"9.211"
"0.005","7",10,"9.433"
"0.005","8",2,"5.420"
"0.005","8",3,"6.370"
"0.005","8",4,"6.981"
"0.005","8",5,"7.435"
"0.005","8",6,"7.796"
"0.005","8",7,"8.097"
"0.005","8",8,"8.354"
"0.005","8",9,"8.578"
"0.005","8",10,"8.777"
"0.005","9",2,"5.218"
"0.005","9",3,"6.096"
"0.005","9",4,"6.657"
"0.005","9",5,"7.073"
"0.005","9",6,"7.405"
"0.005","9",7,"7.680"
"0.005","9",8,"7.915"
"0.005","9",9,"8.120"
"0.005","9",10,"8.302"
"0.005","10",2,"5.065"
"0.005","10",3,"5.888"
"0.005","10",4,"6.412"
"0.005","10",5,"6.800"
"0.005","10",6,"7.109"
"0.005","10",7,"7.365"
"0.005","10",8,"7.584"
"0.005","10",9,"7.775"
"0.005","10",10,"7.944"
"0.005","11",2,"4.945"
"0.005","11",3,"5.726"
"0.005","11",4,"6.221"
"0.005","11",5,"6.587"
"0.005","11",6,"6.878"
"0.005","11",7,"7.119"
"0.005","11",8,"7.325"
"0.005","11",9,"7.504"
"0.005","11",10,"7.664"
"0.005","12",2,"4.849"
"0.005","12",3,"5.596"
"0.005","12",4,"6.068"
"0.005","12",5,"6.416"
"0.005","12",6,"6.693"
"0.005","12",7,"6.922"
"0.005","12",8,"7.117"
"0.005","12",9,"7.288"
"0.005","12",10,"7.439"
"0.005","13",2,"4.769"
"0.005","13",3,"5.489"
"0.005","13",4,"5.943"
"0.005","13",5,"6.276"
"0.005","13",6,"6.541"
"0.005","13",7,"6.760"
"0.005","13",8,"6.947"
"0.005","13",9,"7.110"
"0.005","13",10,"7.254"
"0.005","14",2,"4.703"
"0.005","14",3,"5.401"
"0.005","14",4,"5.838"
"0.005","14",5,"6.160"
"0.005","14",6,"6.414"
"0.005","14",7,"6.625"
"0.005","14",8,"6.805"
"0.005","14",9,"6.962"
"0.005","14",10,"7.101"
"0.005","15",2,"4.647"
"0.005","15",3,"5.325"
"0.005","15",4,"5.750"
"0.005","15",5,"6.061"
"0.005","15",6,"6.307"
"0.005","15",7,"6.511"
"0.005","15",8,"6.685"
"0.005","15",9,"6.836"
"0.005","15",10,"6.970"
"0.005","16",2,"4.599"
"0.005","16",3,"5.261"
"0.005","16",4,"5.674"
"0.005","16",5,"5.976"
"0.005","16",6,"6.216"
"0.005","16",7,"6.413"
"0.005","16",8,"6.582"
"0.005","16",9,"6.729"
"0.005","16",10,"6.859"
"0.005","17",2,"4.557"
"0.005","17",3,"5.205"
"0.005","17",4,"5.608"
"0.005","17",5,"5.903"
"0.005","17",6,"6.136"
"0.005","17",7,"6.329"
"0.005","17",8,"6.493"
"0.005","17",9,"6.636"
"0.005","17",10,"6.762"
"0.005","18",2,"4.521"
"0.005","18",3,"5.156"
"0.005","18",4,"5.550"
"0.005","18",5,"5.839"
"0.005","18",6,"6.067"
"0.005","18",7,"6.255"
"0.005","18",8,"6.415"
"0.005","18",9,"6.554"
"0.005","18",10,"6.677"
"0.005","19",2,"4.488"
"0.005","19",3,"5.112"
"0.005","19",4,"5.500"
"0.005","19",5,"5.782"
"0.005","19",6,"6.005"
"0.005","19",7,"6.189"
"0.005","19",8,"6.346"
"0.005","19",9,"6.482"
"0.005","19",10,"6.603"
"0.005","20",2,"4.460"
"0.005","20",3,"5.074"
"0.005","20",4,"5.455"
"0.005","20",5,"5.732"
"0.005","20",6,"5.951"
"0.005","20",7,"6.131"
"0.005","20",8,"6.285"
"0.005","20",9,"6.418"
"0.005","20",10,"6.536"
"0.005","24",2,"4.371"
"0.005","24",3,"4.955"
"0.005","24",4,"5.315"
"0.005","24",5,"5.577"
"0.005","24",6,"5.783"
"0.005","24",7,"5.952"
"0.005","24",8,"6.096"
"0.005","24",9,"6.221"
"0.005","24",10,"6.331"
"0.005","30",2,"4.285"
"0.005","30",3,"4.841"
"0.005","30",4,"5.181"
"0.005","30",5,"5.428"
"0.005","30",6,"5.621"
"0.005","30",7,"5.779"
"0.005","30",8,"5.914"
"0.005","30",9,"6.031"
"0.005","30",10,"6.134"
"0.005","40",2,"4.202"
"0.005","40",3,"4.731"
"0.005","40",4,"5.052"
"0.005","40",5,"5.284"
"0.005","40",6,"5.465"
"0.005","40",7,"5.614"
"0.005","40",8,"5.739"
"0.005","40",9,"5.848"
"0.005","40",10,"5.944"
"0.005","60",2,"4.122"
"0.005","60",3,"4.625"
"0.005","60",4,"4.928"
"0.005","60",5,"5.146"
"0.005","60",6,"5.316"
"0.005","60",7,"5.454"
"0.005","60",8,"5.571"
"0.005","60",9,"5.673"
"0.005","60",10,"5.762"
"0.005","120",2,"4.044"
"0.005","120",3,"4.523"
"0.005","120",4,"4.809"
"0.005","120",5,"5.013"
"0.005","120",6,"5.172"
"0.005","120",7,"5.301"
"0.005","120",8,"5.410"
"0.005","120",9,"5.504"
"0.005","120",10,"5.586"
"0.005","Inf",2,"3.970"
"0.005","Inf",3,"4.424"
"0.005","Inf",4,"4.694"
"0.005","Inf",5,"4.886"
"0.005","Inf",6,"5.033"
"0.005","Inf",7,"5.154"
"0.005","Inf",8,"5.255"
"0.005","Inf",9,"5.341"
"0.005","Inf",10,"5.418"
"0.005","1",11,"506.313"
"0.005","1",12,"519.970"
"0.005","1",13,"532.341"
"0.005","1",14,"543.637"
"0.005","1",15,"554.019"
"0.005","1",16,"563.619"
"0.005","1",17,"572.539"
"0.005","1",18,"580.866"
"0.005","1",19,"588.669"
"0.005","2",11,"46.160"
"0.005","2",12,"47.305"
"0.005","2",13,"48.346"
"0.005","2",14,"49.298"
"0.005","2",15,"50.175"
"0.005","2",16,"50.988"
"0.005","2",17,"51.744"
"0.005","2",18,"52.451"
"0.005","2",19,"53.114"
"0.005","3",11,"21.703"
"0.005","3",12,"22.203"
"0.005","3",13,"22.658"
"0.005","3",14,"23.076"
"0.005","3",15,"23.460"
"0.005","3",16,"23.817"
"0.005","3",17,"24.150"
"0.005","3",18,"24.462"
"0.005","3",19,"24.754"
"0.005","4",11,"15.096"
"0.005","4",12,"15.422"
"0.005","4",13,"15.719"
"0.005","4",14,"15.992"
"0.005","4",15,"16.244"
"0.005","4",16,"16.478"
"0.005","4",17,"16.696"
"0.005","4",18,"16.901"
"0.005","4",19,"17.093"
"0.005","5",11,"12.208"
"0.005","5",12,"12.458"
"0.005","5",13,"12.686"
"0.005","5",14,"12.895"
"0.005","5",15,"13.088"
"0.005","5",16,"13.268"
"0.005","5",17,"13.436"
"0.005","5",18,"13.594"
"0.005","5",19,"13.742"
"0.005","6",11,"10.624"
"0.005","6",12,"10.831"
"0.005","6",13,"11.020"
"0.005","6",14,"11.194"
"0.005","6",15,"11.355"
"0.005","6",16,"11.505"
"0.005","6",17,"11.644"
"0.005","6",18,"11.776"
"0.005","6",19,"11.899"
"0.005","7",11,"9.632"
"0.005","7",12,"9.812"
"0.005","7",13,"9.976"
"0.005","7",14,"10.128"
"0.005","7",15,"10.268"
"0.005","7",16,"10.399"
"0.005","7",17,"10.521"
"0.005","7",18,"10.635"
"0.005","7",19,"10.743"
"0.005","8",11,"8.955"
"0.005","8",12,"9.117"
"0.005","8",13,"9.265"
"0.005","8",14,"9.401"
"0.005","8",15,"9.527"
"0.005","8",16,"9.644"
"0.005","8",17,"9.754"
"0.005","8",18,"9.856"
"0.005","8",19,"9.953"
"0.005","9",11,"8.466"
"0.005","9",12,"8.614"
"0.005","9",13,"8.749"
"0.005","9",14,"8.874"
"0.005","9",15,"8.989"
"0.005","9",16,"9.097"
"0.005","9",17,"9.197"
"0.005","9",18,"9.292"
"0.005","9",19,"9.381"
"0.005","10",11,"8.096"
"0.005","10",12,"8.233"
"0.005","10",13,"8.359"
"0.005","10",14,"8.475"
"0.005","10",15,"8.583"
"0.005","10",16,"8.683"
"0.005","10",17,"8.777"
"0.005","10",18,"8.864"
"0.005","10",19,"8.947"
"0.005","11",11,"7.807"
"0.005","11",12,"7.936"
"0.005","11",13,"8.055"
"0.005","11",14,"8.164"
"0.005","11",15,"8.265"
"0.005","11",16,"8.359"
"0.005","11",17,"8.447"
"0.005","11",18,"8.530"
"0.005","11",19,"8.608"
"0.005","12",11,"7.574"
"0.005","12",12,"7.697"
"0.005","12",13,"7.810"
"0.005","12",14,"7.913"
"0.005","12",15,"8.009"
"0.005","12",16,"8.099"
"0.005","12",17,"8.182"
"0.005","12",18,"8.261"
"0.005","12",19,"8.335"
"0.005","13",11,"7.384"
"0.005","13",12,"7.502"
"0.005","13",13,"7.609"
"0.005","13",14,"7.708"
"0.005","13",15,"7.800"
"0.005","13",16,"7.885"
"0.005","13",17,"7.965"
"0.005","13",18,"8.040"
"0.005","13",19,"8.111"
"0.005","14",11,"7.225"
"0.005","14",12,"7.338"
"0.005","14",13,"7.442"
"0.005","14",14,"7.537"
"0.005","14",15,"7.625"
"0.005","14",16,"7.707"
"0.005","14",17,"7.784"
"0.005","14",18,"7.856"
"0.005","14",19,"7.924"
"0.005","15",11,"7.091"
"0.005","15",12,"7.200"
"0.005","15",13,"7.300"
"0.005","15",14,"7.391"
"0.005","15",15,"7.476"
"0.005","15",16,"7.556"
"0.005","15",17,"7.630"
"0.005","15",18,"7.699"
"0.005","15",19,"7.765"
"0.005","16",11,"6.975"
"0.005","16",12,"7.081"
"0.005","16",13,"7.178"
"0.005","16",14,"7.267"
"0.005","16",15,"7.349"
"0.005","16",16,"7.426"
"0.005","16",17,"7.498"
"0.005","16",18,"7.565"
"0.005","16",19,"7.629"
"0.005","17",11,"6.876"
"0.005","17",12,"6.978"
"0.005","17",13,"7.072"
"0.005","17",14,"7.159"
"0.005","17",15,"7.239"
"0.005","17",16,"7.313"
"0.005","17",17,"7.383"
"0.005","17",18,"7.449"
"0.005","17",19,"7.510"
"0.005","18",11,"6.788"
"0.005","18",12,"6.888"
"0.005","18",13,"6.980"
"0.005","18",14,"7.064"
"0.005","18",15,"7.142"
"0.005","18",16,"7.215"
"0.005","18",17,"7.283"
"0.005","18",18,"7.347"
"0.005","18",19,"7.407"
"0.005","19",11,"6.711"
"0.005","19",12,"6.809"
"0.005","19",13,"6.898"
"0.005","19",14,"6.981"
"0.005","19",15,"7.057"
"0.005","19",16,"7.128"
"0.005","19",17,"7.194"
"0.005","19",18,"7.257"
"0.005","19",19,"7.316"
"0.005","20",11,"6.642"
"0.005","20",12,"6.738"
"0.005","20",13,"6.826"
"0.005","20",14,"6.906"
"0.005","20",15,"6.981"
"0.005","20",16,"7.051"
"0.005","20",17,"7.116"
"0.005","20",18,"7.177"
"0.005","20",19,"7.234"
"0.005","24",11,"6.430"
"0.005","24",12,"6.520"
"0.005","24",13,"6.602"
"0.005","24",14,"6.677"
"0.005","24",15,"6.747"
"0.005","24",16,"6.812"
"0.005","24",17,"6.872"
"0.005","24",18,"6.929"
"0.005","24",19,"6.983"
"0.005","30",11,"6.226"
"0.005","30",12,"6.310"
"0.005","30",13,"6.386"
"0.005","30",14,"6.456"
"0.005","30",15,"6.521"
"0.005","30",16,"6.581"
"0.005","30",17,"6.638"
"0.005","30",18,"6.691"
"0.005","30",19,"6.740"
"0.005","40",11,"6.030"
"0.005","40",12,"6.108"
"0.005","40",13,"6.178"
"0.005","40",14,"6.243"
"0.005","40",15,"6.303"
"0.005","40",16,"6.359"
"0.005","40",17,"6.411"
"0.005","40",18,"6.460"
"0.005","40",19,"6.507"
"0.005","60",11,"5.841"
"0.005","60",12,"5.913"
"0.005","60",13,"5.979"
"0.005","60",14,"6.039"
"0.005","60",15,"6.094"
"0.005","60",16,"6.146"
"0.005","60",17,"6.194"
"0.005","60",18,"6.239"
"0.005","60",19,"6.281"
"0.005","120",11,"5.660"
"0.005","120",12,"5.726"
"0.005","120",13,"5.786"
"0.005","120",14,"5.842"
"0.005","120",15,"5.893"
"0.005","120",16,"5.940"
"0.005","120",17,"5.984"
"0.005","120",18,"6.025"
"0.005","120",19,"6.064"
"0.005","Inf",11,"5.485"
"0.005","Inf",12,"5.546"
"0.005","Inf",13,"5.602"
"0.005","Inf",14,"5.652"
"0.005","Inf",15,"5.699"
"0.005","Inf",16,"5.742"
"0.005","Inf",17,"5.783"
"0.005","Inf",18,"5.820"
"0.005","Inf",19,"5.856"
"0.005","1",20,"596.007"
"0.005","1",22,"609.481"
"0.005","1",24,"621.603"
"0.005","1",26,"632.609"
"0.005","1",28,"642.678"
"0.005","1",30,"651.950"
"0.005","1",32,"660.538"
"0.005","1",34,"668.531"
"0.005","1",36,"676.002"
"0.005","2",20,"53.738"
"0.005","2",22,"54.887"
"0.005","2",24,"55.922"
"0.005","2",26,"56.863"
"0.005","2",28,"57.725"
"0.005","2",30,"58.520"
"0.005","2",32,"59.258"
"0.005","2",34,"59.945"
"0.005","2",36,"60.587"
"0.005","3",20,"25.030"
"0.005","3",22,"25.538"
"0.005","3",24,"25.996"
"0.005","3",26,"26.413"
"0.005","3",28,"26.796"
"0.005","3",30,"27.150"
"0.005","3",32,"27.478"
"0.005","3",34,"27.784"
"0.005","3",36,"28.070"
"0.005","4",20,"17.275"
"0.005","4",22,"17.609"
"0.005","4",24,"17.912"
"0.005","4",26,"18.187"
"0.005","4",28,"18.441"
"0.005","4",30,"18.674"
"0.005","4",32,"18.892"
"0.005","4",34,"19.094"
"0.005","4",36,"19.284"
"0.005","5",20,"13.882"
"0.005","5",22,"14.140"
"0.005","5",24,"14.373"
"0.005","5",26,"14.586"
"0.005","5",28,"14.782"
"0.005","5",30,"14.963"
"0.005","5",32,"15.131"
"0.005","5",34,"15.288"
"0.005","5",36,"15.435"
"0.005","6",20,"12.016"
"0.005","6",22,"12.231"
"0.005","6",24,"12.426"
"0.005","6",26,"12.604"
"0.005","6",28,"12.768"
"0.005","6",30,"12.919"
"0.005","6",32,"13.060"
"0.005","6",34,"13.192"
"0.005","6",36,"13.315"
"0.005","7",20,"10.845"
"0.005","7",22,"11.033"
"0.005","7",24,"11.204"
"0.005","7",26,"11.359"
"0.005","7",28,"11.503"
"0.005","7",30,"11.635"
"0.005","7",32,"11.759"
"0.005","7",34,"11.874"
"0.005","7",36,"11.982"
"0.005","8",20,"10.045"
"0.005","8",22,"10.214"
"0.005","8",24,"10.368"
"0.005","8",26,"10.508"
"0.005","8",28,"10.637"
"0.005","8",30,"10.757"
"0.005","8",32,"10.868"
"0.005","8",34,"10.972"
"0.005","8",36,"11.070"
"0.005","9",20,"9.465"
"0.005","9",22,"9.620"
"0.005","9",24,"9.761"
"0.005","9",26,"9.890"
"0.005","9",28,"10.009"
"0.005","9",30,"10.119"
"0.005","9",32,"10.221"
"0.005","9",34,"10.317"
"0.005","9",36,"10.407"
"0.005","10",20,"9.025"
"0.005","10",22,"9.170"
"0.005","10",24,"9.301"
"0.005","10",26,"9.422"
"0.005","10",28,"9.532"
"0.005","10",30,"9.635"
"0.005","10",32,"9.730"
"0.005","10",34,"9.819"
"0.005","10",36,"9.903"
"0.005","11",20,"8.681"
"0.005","11",22,"8.818"
"0.005","11",24,"8.941"
"0.005","11",26,"9.054"
"0.005","11",28,"9.159"
"0.005","11",30,"9.255"
"0.005","11",32,"9.345"
"0.005","11",34,"9.429"
"0.005","11",36,"9.508"
"0.005","12",20,"8.405"
"0.005","12",22,"8.534"
"0.005","12",24,"8.652"
"0.005","12",26,"8.759"
"0.005","12",28,"8.858"
"0.005","12",30,"8.950"
"0.005","12",32,"9.035"
"0.005","12",34,"9.115"
"0.005","12",36,"9.190"
"0.005","13",20,"8.178"
"0.005","13",22,"8.301"
"0.005","13",24,"8.414"
"0.005","13",26,"8.516"
"0.005","13",28,"8.611"
"0.005","13",30,"8.699"
"0.005","13",32,"8.781"
"0.005","13",34,"8.857"
"0.005","13",36,"8.929"
"0.005","14",20,"7.988"
"0.005","14",22,"8.107"
"0.005","14",24,"8.215"
"0.005","14",26,"8.313"
"0.005","14",28,"8.404"
"0.005","14",30,"8.489"
"0.005","14",32,"8.567"
"0.005","14",34,"8.641"
"0.005","14",36,"8.710"
"0.005","15",20,"7.827"
"0.005","15",22,"7.942"
"0.005","15",24,"8.046"
"0.005","15",26,"8.141"
"0.005","15",28,"8.229"
"0.005","15",30,"8.310"
"0.005","15",32,"8.386"
"0.005","15",34,"8.457"
"0.005","15",36,"8.524"
"0.005","16",20,"7.689"
"0.005","16",22,"7.800"
"0.005","16",24,"7.901"
"0.005","16",26,"7.993"
"0.005","16",28,"8.078"
"0.005","16",30,"8.157"
"0.005","16",32,"8.231"
"0.005","16",34,"8.300"
"0.005","16",36,"8.364"
"0.005","17",20,"7.569"
"0.005","17",22,"7.677"
"0.005","17",24,"7.775"
"0.005","17",26,"7.865"
"0.005","17",28,"7.948"
"0.005","17",30,"8.024"
"0.005","17",32,"8.096"
"0.005","17",34,"8.163"
"0.005","17",36,"8.226"
"0.005","18",20,"7.464"
"0.005","18",22,"7.569"
"0.005","18",24,"7.665"
"0.005","18",26,"7.752"
"0.005","18",28,"7.833"
"0.005","18",30,"7.908"
"0.005","18",32,"7.977"
"0.005","18",34,"8.043"
"0.005","18",36,"8.104"
"0.005","19",20,"7.371"
"0.005","19",22,"7.474"
"0.005","19",24,"7.567"
"0.005","19",26,"7.653"
"0.005","19",28,"7.732"
"0.005","19",30,"7.805"
"0.005","19",32,"7.873"
"0.005","19",34,"7.936"
"0.005","19",36,"7.996"
"0.005","20",20,"7.289"
"0.005","20",22,"7.389"
"0.005","20",24,"7.481"
"0.005","20",26,"7.564"
"0.005","20",28,"7.641"
"0.005","20",30,"7.713"
"0.005","20",32,"7.779"
"0.005","20",34,"7.842"
"0.005","20",36,"7.900"
"0.005","24",20,"7.034"
"0.005","24",22,"7.127"
"0.005","24",24,"7.213"
"0.005","24",26,"7.290"
"0.005","24",28,"7.362"
"0.005","24",30,"7.429"
"0.005","24",32,"7.491"
"0.005","24",34,"7.549"
"0.005","24",36,"7.603"
"0.005","30",20,"6.787"
"0.005","30",22,"6.875"
"0.005","30",24,"6.954"
"0.005","30",26,"7.026"
"0.005","30",28,"7.092"
"0.005","30",30,"7.154"
"0.005","30",32,"7.211"
"0.005","30",34,"7.265"
"0.005","30",36,"7.316"
"0.005","40",20,"6.550"
"0.005","40",22,"6.631"
"0.005","40",24,"6.703"
"0.005","40",26,"6.770"
"0.005","40",28,"6.832"
"0.005","40",30,"6.888"
"0.005","40",32,"6.941"
"0.005","40",34,"6.991"
"0.005","40",36,"7.037"
"0.005","60",20,"6.321"
"0.005","60",22,"6.395"
"0.005","60",24,"6.462"
"0.005","60",26,"6.523"
"0.005","60",28,"6.580"
"0.005","60",30,"6.632"
"0.005","60",32,"6.680"
"0.005","60",34,"6.726"
"0.005","60",36,"6.768"
"0.005","120",20,"6.101"
"0.005","120",22,"6.169"
"0.005","120",24,"6.230"
"0.005","120",26,"6.286"
"0.005","120",28,"6.337"
"0.005","120",30,"6.384"
"0.005","120",32,"6.428"
"0.005","120",34,"6.470"
"0.005","120",36,"6.508"
"0.005","Inf",20,"5.889"
"0.005","Inf",22,"5.951"
"0.005","Inf",24,"6.006"
"0.005","Inf",26,"6.057"
"0.005","Inf",28,"6.103"
"0.005","Inf",30,"6.146"
"0.005","Inf",32,"6.186"
"0.005","Inf",34,"6.223"
"0.005","Inf",36,"6.258"
"0.005","1",38,"683.014"
"0.005","1",40,"689.615"
"0.005","1",50,"717.795"
"0.005","1",60,"740.201"
