treatment,t_day,organic_C_mg_L,O2_mg_L,regenerated_N_uM,O2_used_mg_L,O2_added_mg_L
weak_renewal,5.98,2.2278258043567196,0.5061439377426299,39.2934812046175,10.05913118838208,2.5652751261247078
weak_renewal,6.0,2.22290287813022,0.5050072196175556,39.34476168614354,10.072258991652747,2.5772662112703
weak_renewal,6.0200000000000005,2.2179962124149077,0.5039156453851793,39.39587278734471,10.085343433560245,2.5892590789454224
weak_renewal,6.04,2.2131055430163324,0.5028684389193804,39.44681726024653,10.098385218623113,2.6012536575424905
weak_renewal,6.0600000000000005,2.208230610168993,0.501864837135931,39.497597810739656,10.11138503954935,2.61324987668528
weak_renewal,6.08,2.203371158510112,0.5009040899017595,39.548217098853,10.124343577306368,2.6252476672081246
weak_renewal,6.1000000000000005,2.198526937051408,0.49998545993903326,39.59867773904784,10.137261501196246,2.637246961135276
weak_renewal,6.12,2.1936976991489723,0.4991082227243409,39.648982300531536,10.150139468936073,2.649247691660412
weak_renewal,6.140000000000001,2.1888832024713523,0.49827166638325743,39.69913330759008,10.16297812674306,2.6612497931263155
weak_renewal,6.16,2.184083208965941,0.49747509158056585,39.74913323993811,10.175778109424156,2.6732532010047194
weak_renewal,6.18,2.179297484823773,0.49671781140640575,39.798984533085694,10.188540040469936,2.6852578518763406
weak_renewal,6.2,2.174525800442821,0.49599915125861394,39.84868957872062,10.201264532152475,2.697263683411088
weak_renewal,6.22,2.1697679303898916,0.49531844872151587,39.8982507251053,10.213952185626955,2.7092706343484685
weak_renewal,6.24,2.165023653361211,0.49467505344142026,39.94767027748739,10.226603591036769,2.721278644478188
weak_renewal,6.26,2.1602927521417916,0.494068326999066,39.996950498523006,10.239219327621887,2.7332876546209524
weak_renewal,6.28,2.1555750135636664,0.4934976427792592,40.046093608711814,10.251799963830221,2.74529760660948
weak_renewal,6.3,2.1508702284630816,0.4929623858379357,40.0951017868429,10.264346057431782,2.7573084432697152
weak_renewal,6.32,2.146178191636726,0.4924619527668755,40.143977170450775,10.276858155635397,2.7693201084022703
weak_renewal,6.34,2.141498701797082,0.4919957515562906,40.1927218562804,10.289336795207781,2.7813325467640695
weak_renewal,6.36,2.136831561526975,0.49156320145549803,40.24133790076068,10.301782502594733,2.793345704050229
weak_renewal,6.38,2.1321765772333987,0.4911637328318845,40.289827320485436,10.31419579404427,2.8053595268761526
