treatment,t_h,E_umol,R_umol,G_umol,exported_umol,B_units,U_umol_h,A_umol_h
replete,24.36,0.0,0.21997906348704904,23.538122151817795,14.24189878469516,2.3538122151817795,0.0,0.07355554990501302
replete,24.38,0.0,0.21851264083461447,23.53958857447023,14.24189878469516,2.353958857447023,0.0,0.07308716666034971
replete,24.400000000000002,0.0,0.2170555588079374,23.54104565649691,14.24189878469516,2.354104565649691,0.0,0.07262148532057747
replete,24.42,0.0,0.21560776348941219,23.542493451815435,14.24189878469516,2.3542493451815436,0.0,0.07215849383794563
replete,24.44,0.0,0.2141692012023003,23.543932014102545,14.24189878469516,2.3543932014102547,0.0,0.07169818017352918
replete,24.46,0.0,0.21273981851054824,23.5453613967943,14.24189878469516,2.3545361396794298,0.0,0.07124053229787758
replete,24.48,0.0,0.21131956221859147,23.546781653086253,14.24189878469516,2.3546781653086253,0.0,0.07078553819165477
replete,24.5,0.0,0.20990837937114573,23.5481928359337,14.24189878469516,2.35481928359337,0.0,0.07033318584626976
replete,24.52,0.0,0.20850621725298596,23.54959499805186,14.24189878469516,2.3549594998051857,0.0,0.06988346326449864
replete,24.54,0.0,0.20711302338871282,23.550988191916133,14.24189878469516,2.355098819191613,0.0,0.06943635846109766
replete,24.56,0.0,0.20572874554250697,23.55237246976234,14.24189878469516,2.355237246976234,0.0,0.06899185946340745
replete,24.580000000000002,0.0,0.2043533317178712,23.553747883586972,14.24189878469516,2.3553747883586973,0.0,0.06854995431194853
replete,24.6,0.0,0.2029867301573619,23.55511448514748,14.24189878469516,2.355511448514748,0.0,0.06811063106100845
replete,24.62,0.0,0.20162888934230655,23.556472325962538,14.24189878469516,2.3556472325962536,0.0,0.06767387777921959
replete,24.64,0.0,0.200279757992512,23.557821457312333,14.24189878469516,2.3557821457312333,0.0,0.06723968255012891
replete,24.66,0.0,0.19893928506596023,23.559161930238883,14.24189878469516,2.355916193023888,0.0,0.06680803347275911
replete,24.68,0.0,0.19760741975849355,23.56049379554635,14.24189878469516,2.356049379554635,0.0,0.06637891866216124
replete,24.7,0.0,0.19628411150348832,23.561817103801356,14.24189878469516,2.3561817103801355,0.0,0.06595232624995868
replete,24.72,0.0,0.19496930997151832,23.563131905333325,14.24189878469516,2.3563131905333323,0.0,0.06552824438488312
replete,24.740000000000002,0.0,0.1936629650700069,23.564438250234836,14.24189878469516,2.356443825023484,0.0,0.0651066612333018
replete,24.76,0.0,0.1923650269428701,23.56573618836197,14.24189878469516,2.356573618836197,0.0,0.06468756497973713
replete,24.78,0.0,0.19107544597014703,23.567025769334695,14.24189878469516,2.3567025769334693,0.0,0.06427094382737712
replete,24.8,0.0,0.18979417276762237,23.56830704253722,14.24189878469516,2.356830704253722,0.0,0.06385678599857857
replete,24.82,0.0,0.1885211581864379,23.569580057118404,14.24189878469516,2.3569580057118404,0.0,0.06344507973536173
replete,24.84,0.0,0.1872563533126942,23.570844861992146,14.24189878469516,2.3570844861992146,0.0,0.063035813299897
replete,24.86,0.0,0.18599970946704308,23.572101505837797,14.24189878469516,2.3572101505837795,0.0,0.06262897497498364
