lon,lat,date
-26.908376,38.771366,1998-01-01T00:00:00Z
-28.143483,38.68,2014-06-28T00:00:00Z
-28.7,38.333333,2003-07-04T00:00:00Z
-28.133333,38.7,2000-10-23T00:00:00Z
-25.7053,37.6395,2017-03-29T11:00:00Z
-28.7599,38.7004,2015-03-19T16:01:00Z
-28.4876,38.3579,2015-06-18T16:49:00Z
-28.5867,38.653,2017-06-24T10:07:00Z
-25.64,37.64,2016-04-28T16:47:00Z
-29.446989,37.986214,1998-01-01T00:00:00Z
-28.2822,38.3083,2017-06-03T10:17:00Z
-27.233333,38.5,1999-04-30T00:00:00Z
-25.349,37.7043,2016-05-05T10:50:00Z
-28.6634,38.6958,2017-03-25T11:23:00Z
-28.578806,38.526597,2007-03-26T10:24:37Z
-28.6096,38.6872,2016-03-08T10:52:00Z
-28.5481,38.4667,2018-04-28T10:35:00Z
-25.5415,37.6722,2017-04-12T13:30:00Z
-25.4722,37.6787,2015-05-26T14:25:00Z
-28.2263,38.3529,2018-05-18T09:43:00Z
-29.15,38.183333,2000-05-08T00:00:00Z
-28.6214,38.4811,2018-05-29T16:08:00Z
-30.631624,38.152191,1998-01-01T00:00:00Z
-28.4859,38.4164,2018-04-27T15:18:00Z
-28.578806,38.526597,2006-05-06T00:00:00Z
-25.6236,37.6571,2014-06-29T14:02:00Z
-28.6175,38.5163,2017-04-03T15:12:00Z
-28.578806,38.526597,1996-09-01T00:00:00Z
-25.2236,37.6184,2018-03-27T10:22:00Z
-28.660556,38.635932,2022-04-16T17:59:11Z
-25.04007,37.06383,2000-01-01T00:00:00Z
-28.6634,38.6958,2017-03-25T11:23:00Z
-28.6175,38.5163,2017-04-03T15:12:00Z
-28.7378,38.4192,2018-05-08T17:13:00Z
-28.2625,38.399,2017-10-01T14:14:00Z
-27.6,38.4,2014-05-11T00:00:00Z
-28.578806,38.526597,2014-06-18T10:17:43Z
-28.4596,38.4031,2018-04-27T14:40:00Z
-28.518677,38.392699,1998-01-01T00:00:00Z
-28.4596,38.4031,2018-04-27T14:40:00Z
-25.6688,37.6317,2017-05-20T15:00:00Z
